;Unnamed: 0;League;Home;Away;INC;Round;Date;Time;H_Score;A_Score;HT_H_Score;HT_A_Score;WIN;H_BET;X_BET;A_BET;WIN_BET;OVER_2.5;OVER_3.5;H_15;A_15;H_45_50;A_45_50;H_90;A_90;H_Missing_Players;A_Missing_Players;Missing_Players;H_Ball_Possession;A_Ball_Possession;H_Goal_Attempts;A_Goal_Attempts;H_Shots_on_Goal;A_Shots_on_Goal;H_Attacks;A_Attacks;H_Dangerous_Attacks;A_Dangerous_Attacks;H_Shots_off_Goal;A_Shots_off_Goal;H_Blocked_Shots;A_Blocked_Shots;H_Free_Kicks;A_Free_Kicks;H_Corner_Kicks;A_Corner_Kicks;H_Offsides;A_Offsides;H_Throw_in;A_Throw_in;H_Goalkeeper_Saves;A_Goalkeeper_Saves;H_Fouls;A_Fouls;H_Yellow_Cards;A_Yellow_Cards;Game Link;no_match_home;no_match_away;goal_diff;goal_diff_HT;winner;h_form;a_form;Shots_on_Goal_avg_H;Shots_on_Goal_avg_A;Fouls_avg_H;Fouls_avg_A;Yellow_Cards_avg_H;Yellow_Cards_avg_A;Ball_Possession_avg_H;Ball_Possession_avg_A;Corner_Kicks_avg_H;Corner_Kicks_avg_A;Offsides_avg_H;Offsides_avg_A
62798;62798;pko-bp-ekstraklasa;1;12;"[""30' Yellow_Home - Mesanovic M."", ""42' Goal_Home - Terpilowski E.(Radwanski A.)"", ""46' Yellow_Home - Wasielewski M."", ""48' Goal_Away - Penalty Tomasiewicz G.(Penalty )"", ""74' Yellow_Away - Flis M."", ""90+1' Yellow_Away - Matras M.""]";1;2021-07-23;18:00;1.0;1.0;1.0;0.0;Draw;2.48;3.27;3.2;3.27;False;False;False;False;False;True;False;False;1;1;0.0;0.52;0.48;10.0;4.0;3.0;3.0;70.0;62.0;45.0;39.0;7.0;1.0;;;;;1.0;2.0;3.0;0.0;;;2.0;2.0;11.0;16.0;2.0;2.0;https://www.flashscore.com/match/hCQLgbMB/#/match-summary/match-summary;1;1;0.0;1.0;0;0;0;3.0;3.0;11.0;16.0;2.0;2.0;0.52;0.48;1.0;2.0;3.0;0.0
62797;62797;pko-bp-ekstraklasa;2;13;"[""12' Yellow_Away - Machado L."", ""60' Yellow_Home - Salamon B.""]";1;2021-07-23;20:30;0.0;0.0;0.0;0.0;Draw;1.74;4.15;4.9;4.15;False;False;False;False;False;False;False;False;0;0;0.0;0.55;0.45;10.0;7.0;6.0;1.0;109.0;105.0;90.0;62.0;4.0;6.0;;;;;9.0;5.0;6.0;2.0;;;1.0;6.0;10.0;9.0;1.0;1.0;https://www.flashscore.com/match/vTOTixiO/#/match-summary/match-summary;1;1;0.0;0.0;0;0;0;6.0;1.0;10.0;9.0;1.0;1.0;0.55;0.45;9.0;5.0;6.0;2.0
62796;62796;pko-bp-ekstraklasa;3;15;"[""13' Yellow_Away - Kakabadze O."", ""24' Yellow_Home - Mak Mi."", ""42' Goal_Home - Śpiączka B.(Banaszak P.)"", ""52' Yellow_Home - Szcześniak K."", ""69' Yellow_Home - Kalinkowski B."", ""82' Goal_Away - Alvarez M.(Balaj F.)"", ""85' Yellow_Away - Jugas J."", ""90+3' Yellow_Away - Siplak M.""]";1;2021-07-24;15:00;1.0;1.0;1.0;0.0;Draw;3.45;3.27;2.33;3.27;False;False;False;False;False;False;False;False;0;0;0.0;0.48;0.52;11.0;18.0;2.0;7.0;92.0;80.0;59.0;70.0;9.0;11.0;;;;;7.0;7.0;0.0;1.0;;;6.0;1.0;13.0;10.0;3.0;3.0;https://www.flashscore.com/match/0AoCrV6g/#/match-summary/match-summary;1;1;0.0;1.0;0;0;0;2.0;7.0;13.0;10.0;3.0;3.0;0.48;0.52;7.0;7.0;0.0;1.0
62795;62795;pko-bp-ekstraklasa;4;16;"[""49' Yellow_Home - Cernych F."", ""52' Goal_Away - Zwoliński Ł.(Ceesay J.)"", ""55' Goal_Home - Imaz J.(Cernych F.)"", ""87' Yellow_Away - Conrado"", ""87' Yellow_Home - Prikryl T.""]";1;2021-07-24;17:30;1.0;1.0;0.0;0.0;Draw;2.7;3.35;2.84;3.35;False;False;False;False;False;False;False;False;4;2;2.0;0.52;0.48;19.0;12.0;5.0;4.0;79.0;72.0;49.0;64.0;14.0;8.0;;;;;5.0;9.0;1.0;1.0;;;3.0;4.0;12.0;11.0;2.0;1.0;https://www.flashscore.com/match/W2PPhIyI/#/match-summary/match-summary;1;1;0.0;0.0;0;0;0;5.0;4.0;12.0;11.0;2.0;1.0;0.52;0.48;5.0;9.0;1.0;1.0
62794;62794;pko-bp-ekstraklasa;5;17;"[""28' Goal_Home - Muci E.(Nawrocki M.)"", ""29' Yellow_Away - Lagator D."", ""31' Yellow_Away - Tomasik P."", ""34' Yellow_Home - Nawrocki M."", ""82' Yellow_Home - Jędrzejczyk A.""]";1;2021-07-24;20:00;1.0;0.0;1.0;0.0;Home;2.3;3.1;3.9;2.3;False;False;False;False;False;False;False;False;1;0;1.0;0.55;0.45;9.0;16.0;2.0;4.0;106.0;100.0;39.0;66.0;7.0;12.0;;;;;0.0;6.0;2.0;3.0;;;4.0;1.0;10.0;20.0;2.0;2.0;https://www.flashscore.com/match/IJNXjd6U/#/match-summary/match-summary;1;1;1.0;1.0;5;1;-1;2.0;4.0;10.0;20.0;2.0;2.0;0.55;0.45;0.0;6.0;2.0;3.0
62793;62793;pko-bp-ekstraklasa;6;18;"[""05' Goal_Home - Chrapek M."", ""06' Yellow_Away - Papanikolaou G.(Podcięcie)"", ""43' Goal_Away - Wdowiak M.(Lopez I.)"", ""45+2' Yellow_Home - Chrapek M.(Podcięcie)"", ""58' Yellow_Home - Huk T.(Podcięcie)"", ""66' Goal_Home - Sokołowski P.(Konczkowski M.)"", ""70' Goal_Away - Dlugosz W.(Guedes A.)"", ""70' Penalty_Missed_Home -  Lipski P.()"", ""75' Goal_Away - Lopez I.(Penalty )"", ""90+3' Yellow_Away - Tudor F.(Podcięcie)""]";1;2021-07-25;15:00;2.0;3.0;1.0;1.0;Away;2.62;3.35;2.9;2.9;True;True;True;False;False;False;False;False;0;0;0.0;0.54;0.46;12.0;16.0;7.0;9.0;109.0;73.0;77.0;56.0;5.0;7.0;;;;;4.0;6.0;1.0;1.0;;;6.0;5.0;14.0;17.0;2.0;2.0;https://www.flashscore.com/match/rskvCuxt/#/match-summary/match-summary;1;1;-1.0;0.0;18;-1;1;7.0;9.0;14.0;17.0;2.0;2.0;0.54;0.46;4.0;6.0;1.0;1.0
62792;62792;pko-bp-ekstraklasa;7;14;"[""27' Goal_Away - Grzesik J.(Czyz S.)"", ""38' Yellow_Home - Stiglec D."", ""50' Goal_Home - Pich R.(Pawłowski B.)"", ""63' Goal_Home - Exposito E.(Verdasca D.)"", ""74' Yellow_Home - Lewkot Sz."", ""75' Yellow_Away - Trałka Ł."", ""76' Goal_Away - Czyżycki M.""]";1;2021-07-25;17:30;2.0;2.0;0.0;1.0;Draw;2.36;3.3;3.35;3.3;True;True;False;False;True;False;False;False;0;2;-2.0;0.52;0.48;17.0;11.0;5.0;5.0;118.0;117.0;86.0;59.0;12.0;6.0;;;;;1.0;4.0;0.0;0.0;;;3.0;3.0;10.0;14.0;2.0;1.0;https://www.flashscore.com/match/j7hnAJ6h/#/match-summary/match-summary;1;1;0.0;-1.0;0;0;0;5.0;5.0;10.0;14.0;2.0;1.0;0.52;0.48;1.0;4.0;0.0;0.0
62791;62791;pko-bp-ekstraklasa;8;10;"[""33' Goal_Home - Kucharczyk M.(Mata L.)"", ""66' Goal_Home - Kozlowski K.(Kowalczyk S.)"", ""76' Yellow_Home - Parzyszek P."", ""80' Yellow_Away - Manneh A.""]";1;2021-07-25;20:00;2.0;0.0;1.0;0.0;Home;2.02;3.4;4.25;2.02;False;False;False;False;False;False;False;False;2;2;0.0;0.55;0.45;8.0;5.0;4.0;1.0;90.0;76.0;87.0;49.0;4.0;4.0;;;;;6.0;5.0;2.0;0.0;;;1.0;2.0;11.0;13.0;1.0;1.0;https://www.flashscore.com/match/Gt09k1rh/#/match-summary/match-summary;1;1;2.0;1.0;8;1;-1;4.0;1.0;11.0;13.0;1.0;1.0;0.55;0.45;6.0;5.0;2.0;0.0
62790;62790;pko-bp-ekstraklasa;9;11;"[""06' Penalty_Missed_Away -  Starzyński F.()"", ""25' Goal_Home - Yeboah Y.(Penalty )"", ""28' Yellow_Away - Soler I.(Podcięcie)"", ""29' Goal_Home - Kliment J.(Skvarka M.)"", ""37' Yellow_Home - PodcięcieEl Mahdioui A.(Podcięcie)"", ""45+5' Yellow_Home - Sadlok M.(Podcięcie)"", ""66' Yellow_Home - Zhukov G.(Nadmierna ostrość)"", ""78' Yellow_Home - Młyński M.(Podcięcie)"", ""81' Goal_Home - Młyński M.(Skvarka M.)""]";1;2021-07-26;18:00;3.0;0.0;2.0;0.0;Home;2.25;3.45;3.5;2.25;True;False;False;False;False;False;False;False;3;2;1.0;0.57;0.43;9.0;12.0;5.0;4.0;84.0;89.0;77.0;69.0;4.0;8.0;;;;;8.0;5.0;2.0;0.0;;;4.0;2.0;18.0;16.0;4.0;1.0;https://www.flashscore.com/match/dpgrBain/#/match-summary/match-summary;1;1;3.0;2.0;9;1;-1;5.0;4.0;18.0;16.0;4.0;1.0;0.57;0.43;8.0;5.0;2.0;0.0
62788;62788;pko-bp-ekstraklasa;10;2;"[""06' Yellow_Away - Satka L."", ""08' Goal_Home - Penalty Jimenez J.(Penalty )"", ""27' Yellow_Home - Bainovic F."", ""38' Goal_Away - Kamiński J.(Pereira J.)"", ""47' Yellow_Home - Janza E."", ""49' Goal_Away - Ishak M.(Amaral J.)"", ""69' Goal_Away - Skóraś M.(Kamiński J.)"", ""89' Red_Card_Away - Pereira J.""]";2;2021-07-30;20:30;1.0;3.0;1.0;1.0;Away;3.25;3.5;2.35;2.35;True;True;True;False;False;True;False;False;1;0;1.0;0.41;0.59;6.0;13.0;5.0;9.0;84.0;105.0;50.0;107.0;1.0;4.0;;;;;2.0;12.0;1.0;4.0;;;6.0;4.0;13.0;10.0;2.0;1.0;https://www.flashscore.com/match/QPpa7HjB/#/match-summary/match-summary;2;2;-2.0;0.0;2;-2;1;1.0;6.0;13.0;10.0;1.0;1.0;0.45;0.55;5.0;9.0;0.0;6.0
62789;62789;pko-bp-ekstraklasa;11;3;"[""22' Goal_Home - Szysz P.(Daniel E.)"", ""33' Goal_Away - Banaszak P.(Mak Mi.)"", ""46' Yellow_Away - Krykun S."", ""51' Yellow_Away - Gol J."", ""55' Goal_Home - Zivec S.(Starzyński F.)"", ""85' Goal_Home - Szysz P.(Poręba L.)""]";2;2021-07-30;18:00;3.0;1.0;1.0;1.0;Home;1.94;3.65;4.4;1.94;True;True;False;False;False;False;False;False;1;1;0.0;0.51;0.49;7.0;4.0;4.0;2.0;115.0;98.0;73.0;68.0;3.0;2.0;;;;;2.0;4.0;1.0;3.0;;;1.0;1.0;13.0;13.0;0.0;2.0;https://www.flashscore.com/match/v1pGskMa/#/match-summary/match-summary;2;2;2.0;0.0;11;0;-1;4.0;2.0;16.0;13.0;1.0;3.0;0.43;0.48;5.0;7.0;0.0;0.0
62787;62787;pko-bp-ekstraklasa;12;6;"[""18' Goal_Away - Vida K.(Lipski P.)"", ""45+1' Goal_Away - Pyrka A.(Lipski P.)""]";2;2021-07-31;15:00;0.0;2.0;0.0;2.0;Away;3.25;3.36;2.4;2.4;False;False;False;False;False;True;False;False;1;2;-1.0;0.55;0.45;16.0;9.0;6.0;3.0;85.0;73.0;60.0;34.0;10.0;6.0;;;;;9.0;2.0;2.0;3.0;;;1.0;6.0;10.0;18.0;;;https://www.flashscore.com/match/jB0umm5d/#/match-summary/match-summary;2;2;-2.0;-2.0;6;-1;0;3.0;7.0;16.0;14.0;2.0;2.0;0.48;0.54;2.0;4.0;0.0;1.0
62786;62786;pko-bp-ekstraklasa;1;9;"[""22' Yellow_Home - Biedrzycki W."", ""28' Goal_Home - Radwanski A.(Grzybek M.)"", ""56' Goal_Away - Zhukov G.(Gruszkowski K.)"", ""66' Goal_Home - Wlazlo P."", ""80' Yellow_Away - Gruszkowski K."", ""90' Goal_Away - Sadlok M.(Hugi D.)"", ""90+8' Yellow_Home - Wlazlo P.""]";2;2021-07-31;17:30;2.0;2.0;1.0;0.0;Draw;2.85;3.35;2.7;3.35;True;True;False;False;False;False;False;True;5;5;0.0;0.49;0.51;14.0;13.0;6.0;4.0;81.0;91.0;69.0;87.0;8.0;9.0;;;;;3.0;4.0;2.0;2.0;;;2.0;4.0;13.0;12.0;2.0;1.0;https://www.flashscore.com/match/Ucij9wMb/#/match-summary/match-summary;2;2;0.0;1.0;0;0;1;3.0;5.0;11.0;18.0;2.0;4.0;0.52;0.57;1.0;8.0;3.0;2.0
62785;62785;pko-bp-ekstraklasa;13;5;"[""07' Yellow_Home - Rondon M."", ""25' Yellow_Home - Nascimento F."", ""47' Goal_Home - Radecki M."", ""55' Yellow_Away - Muci E."", ""67' Red_Card_Away - Mladenovic F."", ""67' Yellow_Home - Jakubik D."", ""69' Yellow_Home - Radecki M."", ""81' Goal_Home - Angielski K.(Nascimento F.)"", ""82' Goal_Away - Nawrocki M.(Rafa Lopes)"", ""84' Red_Card_Home - Nascimento F."", ""84' Yellow_Away - Slisz B."", ""87' Red_Card_Away - Josue"", ""90+1' Yellow_Away - Wieteska M."", ""90+7' Goal_Home - Sokół D.(Kozak M.)""]";2;2021-07-31;20:00;3.0;1.0;0.0;0.0;Home;3.8;3.4;2.16;3.8;True;True;False;False;True;False;True;False;0;1;-1.0;0.43;0.57;25.0;8.0;8.0;2.0;77.0;101.0;53.0;54.0;17.0;6.0;;;;;6.0;6.0;0.0;2.0;;;1.0;5.0;18.0;18.0;4.0;3.0;https://www.flashscore.com/match/UeCWl9zp/#/match-summary/match-summary;2;2;2.0;0.0;13;1;0;1.0;2.0;9.0;10.0;1.0;2.0;0.45;0.55;5.0;0.0;2.0;2.0
62784;62784;pko-bp-ekstraklasa;14;8;"[""11' Red_Card_Home - Trałka Ł."", ""13' Goal_Away - Penalty Drygas K.(Penalty )"", ""39' Yellow_Home - Ivanov R."", ""45+1' Yellow_Away - Dąbrowski D."", ""53' Yellow_Home - Zrelak A."", ""66' Yellow_Away - Żurawski M."", ""85' Goal_Home - Ivanov R.(Grzesik J.)"", ""90+2' Yellow_Home - Kupczak M."", ""90+3' Red_Card_Away - Żółta kartka / Żurawski M.""]";2;2021-08-01;15:00;1.0;1.0;0.0;1.0;Draw;3.35;3.16;2.46;3.16;False;False;False;True;False;False;False;False;3;2;1.0;0.38;0.62;6.0;20.0;1.0;6.0;81.0;102.0;49.0;89.0;5.0;14.0;;;;;3.0;7.0;2.0;2.0;;;5.0;0.0;14.0;10.0;3.0;3.0;https://www.flashscore.com/match/b5kElLcb/#/match-summary/match-summary;2;2;0.0;-1.0;0;0;1;5.0;4.0;14.0;11.0;1.0;1.0;0.48;0.55;4.0;6.0;0.0;2.0
62783;62783;pko-bp-ekstraklasa;15;7;"[""16' Goal_Away - Penalty Pich R.(Penalty )"", ""45+2' Yellow_Away - Schwarz P."", ""54' Yellow_Away - Lewkot Sz."", ""61' Yellow_Away - Exposito E."", ""66' Red_Card_Away - Żółta kartka / Schwarz P."", ""79' Yellow_Home - Loshaj F."", ""88' Goal_Away - Exposito E.(Makowski R.)"", ""90+1' Goal_Home - van Amersfoort P.(Rapa C.)"", ""90+8' Red_Card_Away - Tamas M."", ""90+8' Yellow_Home - Hrosso L.""]";2;2021-08-01;17:30;1.0;2.0;0.0;1.0;Away;2.18;3.36;3.8;3.8;True;False;False;False;False;False;True;False;0;2;-2.0;0.6;0.4;17.0;13.0;7.0;5.0;91.0;72.0;85.0;37.0;10.0;8.0;;;;;12.0;6.0;1.0;2.0;;;3.0;6.0;15.0;17.0;2.0;4.0;https://www.flashscore.com/match/nZoe8cy5/#/match-summary/match-summary;2;2;-1.0;-1.0;7;-1;1;7.0;5.0;10.0;10.0;3.0;2.0;0.52;0.52;7.0;1.0;1.0;0.0
62782;62782;pko-bp-ekstraklasa;4;18;"[""35' Goal_Home - Romanczuk T."", ""38' Goal_Home - Imaz J."", ""43' Yellow_Home - Pospisil M."", ""51' Yellow_Away - Guedes A."", ""64' Yellow_Away - Courtney-Perkins J."", ""87' Goal_Home - Romanczuk T.(Pospisil M.)""]";2;2021-08-01;20:00;3.0;0.0;2.0;0.0;Home;2.7;3.35;2.87;2.7;True;False;False;False;False;False;False;False;4;0;4.0;0.45;0.55;11.0;6.0;3.0;2.0;91.0;124.0;54.0;88.0;8.0;4.0;;;;;3.0;7.0;1.0;2.0;;;2.0;0.0;19.0;13.0;1.0;2.0;https://www.flashscore.com/match/CK1ylTkj/#/match-summary/match-summary;2;2;3.0;2.0;4;1;0;5.0;9.0;12.0;17.0;2.0;2.0;0.52;0.46;5.0;6.0;1.0;1.0
62781;62781;pko-bp-ekstraklasa;16;17;"[""02' Yellow_Away - Rzeźniczak J."", ""40' Yellow_Away - Michalski D."", ""44' Yellow_Home - Kuciak D.(Poza boiskiem)"", ""44' Yellow_Home - Maloca M."", ""51' Yellow_Away - Lagator D."", ""53' Yellow_Home - Kubicki J."", ""55' Var_Away"", ""63' Own_Home - Kocyła D.()""]";2;2021-08-02;18:00;0.0;0.0;0.0;0.0;Draw;2.44;3.5;3.1;3.5;False;False;False;False;False;False;False;False;4;0;4.0;0.44;0.56;9.0;12.0;4.0;4.0;79.0;109.0;78.0;87.0;5.0;8.0;;;;;8.0;9.0;1.0;3.0;;;4.0;3.0;14.0;13.0;3.0;3.0;https://www.flashscore.com/match/Knp36y6H/#/match-summary/match-summary;2;2;0.0;0.0;0;0;-1;4.0;4.0;11.0;20.0;1.0;2.0;0.48;0.45;9.0;6.0;1.0;3.0
62780;62780;pko-bp-ekstraklasa;3;14;"[""17' Goal_Away - Zrelak A.(Corryn M.)"", ""32' Yellow_Away - Grzesik J."", ""45+1' Yellow_Home - Gol J."", ""52' Goal_Away - Corryn M."", ""61' Goal_Away - Corryn M.(Ławniczak A.)"", ""87' Yellow_Home - Pajnowski K."", ""90+2' Goal_Away - Grzesik J.(Ławniczak A.)""]";3;2021-08-06;18:00;0.0;4.0;0.0;1.0;Away;3.05;3.2;2.65;2.65;True;True;False;False;False;False;False;True;1;4;-3.0;0.56;0.44;10.0;13.0;4.0;6.0;85.0;98.0;40.0;55.0;6.0;7.0;;;;;1.0;6.0;1.0;1.0;;;2.0;4.0;19.0;16.0;2.0;1.0;https://www.flashscore.com/match/KC1Dt9y6/#/match-summary/match-summary;3;3;-4.0;-1.0;14;-2;1;2.0;3.0;13.0;14.0;2.5;2.0;0.485;0.43;5.5;3.5;1.5;1.0
62779;62779;pko-bp-ekstraklasa;2;15;"[""40' Yellow_Home - Ishak M."", ""48' Goal_Home - Salamon B.(Satka L.)"", ""54' Goal_Home - Kamiński J.(Douglas B.)"", ""55' Yellow_Away - van Amersfoort P."", ""55' Yellow_Home - Douglas B.""]";3;2021-08-06;20:30;2.0;0.0;0.0;0.0;Home;1.75;3.76;5.5;1.75;False;False;False;False;True;False;False;False;2;2;0.0;0.51;0.49;16.0;4.0;5.0;0.0;96.0;93.0;69.0;45.0;11.0;4.0;;;;;4.0;1.0;2.0;2.0;;;0.0;3.0;16.0;9.0;2.0;1.0;https://www.flashscore.com/match/0trW9AC9/#/match-summary/match-summary;3;3;2.0;0.0;2;2;-2;7.5;7.0;10.0;12.5;1.0;2.5;0.5700000000000001;0.56;10.5;9.5;5.0;1.0
62777;62777;pko-bp-ekstraklasa;10;12;"[""08' Yellow_Away - Getinger K."", ""40' Yellow_Away - Mak M."", ""75' Goal_Home - Jimenez J.(Kubica K.)"", ""90+5' Yellow_Away - Gliwa M."", ""90+6' Var_Home""]";3;2021-08-07;17:30;1.0;0.0;0.0;0.0;Home;2.3;3.56;3.3;2.3;False;False;False;False;False;False;False;False;0;1;-1.0;0.54;0.46;12.0;8.0;5.0;0.0;117.0;83.0;82.0;41.0;7.0;8.0;;;;;3.0;3.0;5.0;4.0;;;0.0;4.0;14.0;14.0;0.0;3.0;https://www.flashscore.com/match/vRgNBWsc/#/match-summary/match-summary;3;3;1.0;0.0;10;-1;-2;3.0;4.5;13.0;13.0;1.5;;0.43;0.515;3.5;5.5;0.5;1.0
62778;62778;pko-bp-ekstraklasa;4;1;"[""45' Goal_Home - Prikryl T."", ""57' Yellow_Home - Cernych F."", ""81' Yellow_Home - Imaz J."", ""84' Var_Home"", ""90' Yellow_Away - Putivtsev A.""]";3;2021-08-07;15:00;1.0;0.0;1.0;0.0;Home;2.4;3.42;3.2;2.4;False;False;False;False;True;False;False;False;4;5;-1.0;0.42;0.58;9.0;8.0;4.0;2.0;98.0;123.0;45.0;76.0;5.0;6.0;;;;;0.0;4.0;4.0;0.0;;;2.0;3.0;16.0;17.0;2.0;1.0;https://www.flashscore.com/match/IHhRAjc3/#/match-summary/match-summary;3;3;1.0;1.0;4;2;-1;4.0;4.5;15.5;12.0;1.5;2.0;0.485;0.505;4.0;2.0;1.0;2.5
62776;62776;pko-bp-ekstraklasa;8;6;"[""34' Goal_Home - Jean Carlos(Bartkowski J.)"", ""40' Yellow_Away - Chrapek M.""]";3;2021-08-08;15:00;1.0;0.0;1.0;0.0;Home;2.15;3.3;3.95;2.15;False;False;False;False;False;False;False;False;4;2;2.0;0.58;0.42;10.0;14.0;2.0;5.0;97.0;82.0;77.0;75.0;8.0;9.0;;;;;4.0;8.0;3.0;0.0;;;5.0;1.0;8.0;12.0;0.0;1.0;https://www.flashscore.com/match/86ov8lsM/#/match-summary/match-summary;3;3;1.0;1.0;8;2;-1;5.0;5.0;10.5;16.0;2.0;;0.585;0.495;6.5;3.0;2.0;2.0
62775;62775;pko-bp-ekstraklasa;9;18;"[""24' Goal_Home - Yeboah Y.(Kliment J.)"", ""35' Yellow_Away - Musiolik S."", ""51' Red_Card_Away - Papanikolaou G."", ""61' Goal_Away - Cebula M.(Poletanovic M.)"", ""72' Yellow_Away - Cebula M."", ""79' Goal_Away - Gutkovskis V.(Lopez I.)"", ""90+3' Yellow_Away - Gutkovskis V.""]";3;2021-08-08;17:30;1.0;2.0;1.0;0.0;Away;2.6;3.25;2.78;2.78;True;False;False;False;False;False;False;False;1;4;-3.0;0.65;0.35;12.0;10.0;5.0;7.0;102.0;79.0;85.0;75.0;7.0;3.0;;;;;4.0;8.0;1.0;1.0;;;5.0;4.0;10.0;16.0;0.0;3.0;https://www.flashscore.com/match/ncpr78dS/#/match-summary/match-summary;3;3;-1.0;1.0;18;0;1;4.5;5.5;15.0;15.0;2.5;2.0;0.54;0.505;6.0;6.5;2.0;1.5
62774;62774;pko-bp-ekstraklasa;7;16;"[""07' Yellow_Home - Verdasca D."", ""08' Penalty_Missed_Away -  Zwoliński Ł.()"", ""33' Goal_Home - Stiglec D."", ""60' Yellow_Away - Conrado"", ""88' Yellow_Away - Sezonienko K."", ""90+6' Goal_Away - Makowski T.(Musolitin M.)""]";3;2021-08-08;20:00;1.0;1.0;1.0;0.0;Draw;2.7;3.2;2.96;3.2;False;False;False;False;False;False;False;True;2;3;-1.0;0.43;0.57;20.0;20.0;8.0;8.0;93.0;101.0;73.0;93.0;12.0;12.0;;;;;6.0;8.0;5.0;1.0;;;7.0;7.0;14.0;17.0;1.0;2.0;https://www.flashscore.com/match/GS261nKk/#/match-summary/match-summary;3;3;0.0;1.0;0;1;0;5.0;4.0;13.5;12.5;3.0;2.0;0.46;0.45999999999999996;3.5;8.5;1.0;1.0
62773;62773;pko-bp-ekstraklasa;17;13;"[""05' Yellow_Away - Radecki M."", ""19' Goal_Home - Kolar M."", ""51' Yellow_Away - Rossi R."", ""55' Yellow_Away - Abramowicz D."", ""63' Yellow_Away - Jakubik D."", ""88' Yellow_Home - Lesniak F.""]";3;2021-08-09;18:00;1.0;0.0;1.0;0.0;Home;2.76;3.15;2.94;2.76;False;False;False;False;False;False;False;False;1;3;-2.0;0.55;0.45;11.0;10.0;4.0;3.0;106.0;111.0;68.0;56.0;7.0;7.0;;;;;8.0;3.0;2.0;1.0;;;3.0;3.0;13.0;17.0;1.0;4.0;https://www.flashscore.com/match/xx422S4q/#/match-summary/match-summary;3;3;1.0;1.0;17;0;0;4.0;4.5;16.5;13.5;2.5;2.5;0.505;0.44;7.5;5.5;3.0;1.0
62772;62772;pko-bp-ekstraklasa;1;2;"[""03' Goal_Away - Douglas B."", ""04' Goal_Away - Amaral J."", ""07' Yellow_Home - Biedrzycki W."", ""42' Goal_Home - Penalty Wlazlo P.(Penalty )"", ""45+3' Yellow_Home - Wlazlo P."", ""64' Yellow_Home - Grzybek M."", ""66' Yellow_Home - Zyra P."", ""74' Yellow_Away - Douglas B."", ""81' Goal_Away - Ishak M.(Milic A.)""]";4;2021-08-13;18:00;1.0;3.0;1.0;2.0;Away;5.4;3.52;1.82;1.82;True;True;False;True;False;False;False;False;2;0;2.0;0.56;0.44;12.0;16.0;5.0;5.0;77.0;69.0;50.0;43.0;7.0;11.0;;;;;7.0;8.0;1.0;0.0;;;2.0;4.0;7.0;20.0;4.0;1.0;https://www.flashscore.com/match/Ak2A06Ze/#/match-summary/match-summary;4;4;-2.0;-1.0;2;-2;3;3.6666666666666665;6.666666666666667;13.666666666666666;12.0;1.6666666666666667;1.3333333333333333;0.5299999999999999;0.55;2.6666666666666665;8.333333333333334;1.6666666666666667;4.0
62771;62771;pko-bp-ekstraklasa;12;9;"[""03' Yellow_Home - Urbańczyk M."", ""08' Yellow_Home - Budzinski M."", ""21' Yellow_Away - El Mahdioui A."", ""42' Goal_Home - Kolev A.(Urbańczyk M.)"", ""47' Goal_Away - Kliment J.(Hanousek M.)"", ""52' Goal_Home - Mak M.(Getinger K.)"", ""64' Yellow_Away - Sadlok M."", ""64' Yellow_Home - Kolev A.""]";4;2021-08-13;20:30;2.0;1.0;1.0;0.0;Home;3.2;3.6;2.33;3.2;True;False;False;False;False;True;False;False;1;1;0.0;0.44;0.56;11.0;17.0;6.0;5.0;102.0;109.0;82.0;96.0;5.0;12.0;;;;;8.0;4.0;2.0;4.0;;;4.0;4.0;10.0;21.0;3.0;2.0;https://www.flashscore.com/match/fwxEKRQR/#/match-summary/match-summary;4;4;1.0;1.0;12;-1;-1;3.0;4.666666666666667;13.333333333333334;13.333333333333334;;1.6666666666666667;0.49666666666666665;0.5766666666666667;4.666666666666667;5.333333333333333;2.0;1.6666666666666667
62769;62769;pko-bp-ekstraklasa;16;15;"[""07' Yellow_Away - Zaucha P."", ""42' Goal_Home - Gajos M."", ""57' Yellow_Home - Gajos M."", ""76' Yellow_Home - Durmus I."", ""77' Yellow_Away - Hanca S."", ""84' Goal_Home - Żukowski M."", ""87' Yellow_Home - Tobers K."", ""90+5' Goal_Home - Zwoliński Ł.(Pietrzak R.)""]";4;2021-08-14;17:30;3.0;0.0;1.0;0.0;Home;2.27;3.35;3.55;2.27;True;False;False;False;False;False;True;False;3;3;0.0;0.45;0.55;11.0;10.0;4.0;3.0;81.0;87.0;50.0;53.0;7.0;7.0;;;;;3.0;3.0;2.0;2.0;;;3.0;1.0;19.0;11.0;3.0;2.0;https://www.flashscore.com/match/4lq1NTt9/#/match-summary/match-summary;4;4;3.0;1.0;16;1;-3;5.333333333333333;4.666666666666667;14.0;11.333333333333334;2.0;2.0;0.4966666666666666;0.5366666666666667;8.333333333333334;6.666666666666667;1.0;1.3333333333333333
